tconst	averageRating	numVotes
tt1280822	7.5	21681
tt12824860	8.9	7
tt12859684	7.0	209
tt12862780	9.1	14
tt1286587	6.4	57
tt1291150	5.8	225824
tt1294970	5.7	24770
tt12997500	7.5	154
tt1301270	7.0	8
tt13023912	7.1	10
tt1303242	5.1	11
tt1306346	6.8	14
tt1307011	8.0	10
tt1307077	6.9	16
tt1307510	5.9	924
tt1307642	7.2	13
tt13106662	6.0	6
tt13117332	8.0	898
tt1312235	6.1	29
tt13150532	5.8	10
tt13150856	7.4	268
tt1316359	7.1	9
tt13179806	1.7	33
tt13180030	8.0	6
tt1318688	8.6	55
tt1319569	6.9	5148
tt1320337	8.7	7
tt1321693	8.1	5959
