tconst	directors	writers
tt6394324	nm0318795,nm0302416,nm1060984,nm0126032,nm0277830,nm1140344,nm0021592,nm0563039,nm0797869,nm0675894,nm0312889,nm0399630,nm0235852,nm0434320,nm0004627,nm1637474,nm1449136,nm0066439,nm0086745,nm0102877,nm0118665,nm0001227,nm0327064,nm0482794,nm1752221,nm0005559,nm0946475,nm0007439,nm0258066,nm0003922,nm0362399,nm0788481,nm0332405,nm0004500,nm3768241,nm0795223,nm3345300,nm0472568,nm1077920,nm0844896,nm3136590,nm0943153	nm0121154,nm1890301,nm1898779,nm1646565,nm4770731,nm5167766,nm8871058,nm6083769,nm1801321,nm2263787,nm1012347,nm5056311,nm10207558,nm4336357,nm5030653,nm10175610,nm0509340,nm5549931,nm11069058,nm0472568,nm0497556,nm2187589,nm0788481,nm1305006,nm3405369,nm5301911,nm0718555,nm13728069,nm2388413,nm5900860,nm1731497
tt6395150	\N	nm6808559
tt6399854	\N	\N
tt6407676	nm4668227	nm8386754
tt6409908	nm5766193	nm5766193
tt6410198	nm0007439	nm0001921,nm1114695,nm0395924,nm12333411,nm5745999
tt6410278	\N	nm2998356,nm3466623
tt6413130	\N	\N
tt6416520	nm0142461	nm3648936,nm7655914
tt6418788	\N	\N
tt6419426	\N	\N
tt6421464	nm5044008	nm5044008
tt6423418	\N	\N
tt6424974	\N	\N
tt6425006	\N	\N
tt6425018	\N	\N
tt6425022	\N	\N
tt6425028	\N	\N
tt6426882	nm6861402	nm6861402,nm8231559
tt6429116	nm8712429	nm8712429
tt6431018	nm5329476	nm8713580
tt6432056	\N	nm4913753,nm5604345
tt6432878	nm8554722	nm8715175
tt6433726	\N	\N
tt6434364	\N	nm7201121
tt6439740	nm8720212	nm8720212
tt6440032	\N	\N
tt6440144	nm8720486,nm8720487	nm8720486
tt6441396	\N	\N
tt6443550	nm7617946	nm7617946,nm7460951
tt6444404	\N	\N
tt6449598	\N	\N
tt6452674	\N	\N
tt6458784	nm6909623,nm6745703	nm6909623,nm6745703
tt6461258	\N	nm6087981
tt6461758	\N	nm6087981
tt6461764	\N	nm6087981
tt6463776	\N	\N
tt6466632	nm8736290	nm8736290,nm4964165
tt6468736	nm8738154	nm8738154
tt6470256	nm7311355	nm7311355
tt6470274	nm7311355	nm7311355
tt6470594	nm8710119	nm8710119
tt6470908	nm3766090	nm3766090,nm3597657
tt6474096	\N	nm6087981
tt6478724	nm1521546	\N
tt6479924	\N	nm6087981
tt6481376	nm1417038,nm2408470	nm2137662
tt6483432	nm6381250	nm8747291,nm8736294,nm6611047,nm8747315,nm6381250
tt6483768	\N	nm6087981
tt6486142	nm0159966	nm0159966
tt6486832	\N	nm6087981
tt6488106	\N	nm5542223
tt6492856	nm6013980	\N
tt6495438	nm8754809	nm2286586
tt6495756	nm0950426	nm8082738,nm5246010,nm2418079,nm1978839,nm2276427,nm5404569,nm0406416,nm1889187,nm2022626,nm3990359,nm0603867,nm4112866,nm1217514,nm2458618,nm0828414,nm5352443,nm2915098,nm2428931,nm8891955,nm5246200
tt6499538	nm6925060,nm5935445	nm6925060
tt6500946	nm8758828	\N
tt6511072	nm0059971	\N
tt6516866	nm8028713	nm8028713
tt6518828	nm1912585	nm2955149,nm12445125,nm2955009,nm8746202
tt6518872	\N	\N
tt6520840	nm4714958	nm8772532,nm2494349
tt6521230	\N	\N
tt6525648	\N	\N
tt6533458	nm6317173	\N
tt6533816	\N	\N
tt6539272	\N	nm5445003
tt6543124	\N	nm0469689,nm5496941
tt6545802	nm1761965,nm2060343,nm5548130	nm1761965,nm8457764,nm2748159,nm0012541,nm1356268
tt6553676	\N	\N
tt6554010	nm0029444	nm0029444
tt6556270	\N	\N
tt6556520	nm1498023	nm3631154,nm1498023
tt6557002	\N	\N
tt6557218	nm8792953,nm8792954	nm8792953
tt6558710	nm8798352	\N
tt6560832	nm7615316	nm5371297
tt6561012	nm8800021	\N
tt6568604	\N	\N
tt6568694	nm5838748,nm0946092	nm1471491,nm9153823
tt6576296	nm3932163	nm3932163
tt6576802	\N	\N
tt6577860	nm0422456	nm1869439
tt6577950	nm8810312	nm8810313,nm8810312
tt6583850	\N	\N
